Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Continent
China,21.91721,21.90834,21.917920000000002,21.934160000000002,21.96185,21.99321,22.02733,22.059820000000002,22.083460000000002,22.09101,22.101470000000003,22.11669,22.15367,22.199820000000003,22.25368,22.312479999999997,22.379929999999998,22.43812,22.499489999999998,22.54523,22.60003,22.64198,22.67688,22.72156,22.77469,22.82195,22.85678,22.88607,22.91041,Asia
Colombia,23.417360000000002,23.5646,23.69855,23.825329999999997,23.948179999999997,24.06766,24.18964,24.31597,24.43749,24.56007,24.68184,24.79842,24.91628,25.03867,25.160829999999997,25.28646,25.4035,25.51138,25.608,25.689120000000003,25.76325,25.82815,25.88257,25.93727,25.99028,26.04024,26.09901,26.16262,26.22529,South America
Comoros,20.83725,20.873520000000003,20.91591,20.962670000000003,21.01693,21.074289999999998,21.139689999999998,21.204639999999998,21.27295,21.3604,21.46055,21.55173,21.63533,21.7114,21.76424,21.819770000000002,21.87054,21.91443,21.94603,21.97908,22.00916,22.04251,22.088260000000002,22.13929,22.19608,22.2568,22.31975,22.381529999999998,22.444329999999997,Africa
"Congo, Dem. Rep.",19.78312,19.84035,19.89003,19.94744,20.01279,20.08304,20.16304,20.24448,20.32624,20.40642,20.48744,20.55164,20.597720000000002,20.622020000000003,20.6396,20.65093,20.6667,20.68731,20.720470000000002,20.75519,20.79511,20.84604,20.913970000000003,21.01189,21.12111,21.24306,21.37516,21.51727,21.6677,Africa
"Congo, Rep.",19.840670000000003,19.98163,20.147289999999998,20.31211,20.48106,20.63071,20.75161,20.86476,20.96354,21.05274,21.13824,21.2176,21.29751,21.371470000000002,21.43806,21.50901,21.59139,21.68085,21.77958,21.88073,21.99779,22.12915,22.26737,22.40105,22.54009,22.68496,22.83381,22.97,23.10824,Africa
Cook Islands,26.32511,26.658509999999996,27.004890000000003,27.326009999999997,27.66007,27.982459999999996,28.290979999999998,28.57985,28.859479999999998,29.119590000000002,29.36968,29.62896,29.89055,30.15101,30.40101,30.63062,30.86255,31.086129999999997,31.311490000000003,31.55542,31.81515,32.08724,32.34657,32.62107,32.89217,33.16385,33.42907,33.69174,33.94976,Oceania
Costa Rica,23.379170000000002,23.49898,23.59381,23.6941,23.79899,23.90999,24.02919,24.14956,24.2835,24.408379999999998,24.549889999999998,24.69795,24.85564,25.024160000000002,25.193360000000002,25.3609,25.52029,25.66899,25.812070000000002,25.94772,26.07532,26.188979999999997,26.295370000000002,26.40918,26.532009999999996,26.653579999999998,26.7814,26.90884,27.03497,North America
Cote d'Ivoire,21.2528,21.34631,21.43125,21.51484,21.58632,21.65411,21.734720000000003,21.81085,21.882089999999998,21.96782,22.0378,22.10582,22.17643,22.2521,22.31907,22.40325,22.50263,22.6079,22.71985,22.832420000000003,22.9484,23.05647,23.16914,23.27574,23.38481,23.49302,23.60347,23.71021,23.82088,Africa
Croatia,25.17299,25.17183,25.16529,25.15844,25.14873,25.14191,25.13127,25.10691,25.07624,25.03804,24.98815,24.89799,24.79636,24.68412,24.60722,24.56832,24.552970000000002,24.55187,24.56338,24.5901,24.63296,24.69418,24.78217,24.86884,24.94352,25.01465,25.06832,25.129739999999998,25.17882,Europe
Cuba,23.79721,23.9242,24.05473,24.19075,24.32081,24.46398,24.60699,24.72643,24.84021,24.93768,25.02521,25.08469,25.08819,25.07141,25.05412,25.059,25.09156,25.1423,25.20769,25.3054,25.441,25.57658,25.738879999999998,25.88304,26.03661,26.18459,26.32865,26.45295,26.576140000000002,North America
