Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Continent
Cote d'Ivoire,21.12741,21.18081,21.22675,21.27402,21.310129999999997,21.34647,21.39242,21.43551,21.47739,21.52854,21.56519,21.60217,21.64058,21.67979,21.709429999999998,21.75006,21.80476,21.857979999999998,21.917460000000002,21.9759,22.03598,22.09198,22.15328,22.21676,22.28061,22.34639,22.41761,22.488889999999998,22.56469,Africa
Croatia,25.28752,25.3169,25.34765,25.376720000000002,25.410729999999997,25.44008,25.470110000000002,25.50221,25.53267,25.56232,25.58771,25.58618,25.57456,25.55173,25.551070000000003,25.57994,25.61993,25.66831,25.722170000000002,25.78556,25.85519,25.93817,26.03011,26.129820000000002,26.21837,26.309890000000003,26.395970000000002,26.498959999999997,26.596290000000003,Europe
Cuba,22.73085,22.80724,22.89338,22.98056,23.07165,23.16927,23.26024,23.34879,23.433989999999998,23.51321,23.58502,23.63893,23.67952,23.687520000000003,23.70158,23.71862,23.7573,23.80301,23.8616,23.94593,24.05065,24.16575,24.26055,24.39186,24.528579999999998,24.65646,24.793020000000002,24.93192,25.06867,North America
Cyprus,25.33529,25.37046,25.42285,25.4805,25.543870000000002,25.60054,25.66655,25.7255,25.77662,25.8437,25.92588,25.99995,26.09039,26.182660000000002,26.257720000000003,26.3608,26.437759999999997,26.52202,26.609209999999997,26.69027,26.77099,26.84331,26.9245,26.99325,27.07204,27.15274,27.24326,27.32855,27.41899,Asia
Czech Rep.,26.30589,26.35295,26.405440000000002,26.453390000000002,26.499579999999998,26.54167,26.57995,26.62097,26.667959999999997,26.718390000000003,26.77285,26.806359999999998,26.849690000000002,26.89619,26.93426,26.983140000000002,27.043429999999997,27.101,27.16112,27.22247,27.282159999999998,27.34798,27.41303,27.48463,27.56048,27.630670000000002,27.73361,27.814009999999996,27.905240000000003,Europe
Denmark,24.5632,24.56873,24.57527,24.58004,24.58269,24.59358,24.6112,24.62859,24.655829999999998,24.68136,24.7104,24.74973,24.80236,24.851760000000002,24.90462,24.96431,25.02533,25.099520000000002,25.17054,25.247239999999998,25.33594,25.42577,25.52596,25.62415,25.72962,25.82771,25.92875,26.03329,26.13287,Europe
Djibouti,21.23864,21.31928,21.40683,21.489179999999998,21.5751,21.658,21.74279,21.821270000000002,21.89558,21.96332,22.03327,22.08923,22.1475,22.21,22.267020000000002,22.33623,22.39746,22.45329,22.50722,22.56731,22.63424,22.70345,22.77671,22.855829999999997,22.94165,23.04275,23.15419,23.26892,23.38403,Africa
Dominica,22.319000000000003,22.388720000000003,22.46119,22.51509,22.57613,22.63925,22.71689,22.82212,22.950879999999998,23.067970000000003,23.170379999999998,23.271710000000002,23.37355,23.46711,23.53829,23.613039999999998,23.701710000000002,23.79924,23.88361,23.96444,24.052670000000003,24.123739999999998,24.18375,24.24105,24.306420000000003,24.37049,24.43348,24.50453,24.5727,North America
Dominican Rep.,22.92812,22.97861,23.025660000000002,23.07558,23.12295,23.16528,23.216720000000002,23.27431,23.32603,23.38897,23.44034,23.48433,23.53831,23.60267,23.67182,23.73003,23.796310000000002,23.874570000000002,23.96611,24.05981,24.152639999999998,24.26207,24.384539999999998,24.51173,24.634079999999997,24.76461,24.90856,25.05235,25.196679999999997,North America
Ecuador,23.79064,23.85029,23.90204,23.94343,23.98012,24.02461,24.06992,24.1085,24.1838,24.25491,24.31515,24.37246,24.44259,24.508670000000002,24.588420000000003,24.652810000000002,24.716639999999998,24.79187,24.84832,24.91341,24.96302,25.0223,25.0947,25.16315,25.24706,25.332639999999998,25.41453,25.49568,25.58841,South America
Egypt,24.25654,24.34966,24.44688,24.54141,24.63365,24.72495,24.81456,24.9007,24.98559,25.06945,25.1531,25.23388,25.318260000000002,25.40298,25.48856,25.579439999999998,25.67577,25.76764,25.86074,25.95852,26.05777,26.15256,26.240820000000003,26.32384,26.40268,26.48005,26.560540000000003,26.64671,26.732429999999997,Africa
El Salvador,23.77156,23.834220000000002,23.8904,23.94184,23.99645,24.05124,24.10831,24.16901,24.23836,24.310589999999998,24.38845,24.47169,24.56273,24.65915,24.759420000000002,24.8631,24.9637,25.07297,25.18381,25.30405,25.43048,25.5534,25.67399,25.7896,25.8971,26.00695,26.12564,26.24783,26.36751,North America
